candidate_id	unified_qc397_geometry_rank	selection_channel	reason	static_review_status
P1MCPUFP__CPUFP500K_0185__00273	147	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_156392_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__B4D50FADE83974CB	148	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
P1MCPUFP__CPUFP500K_0287__00280	149	STRUCTURAL_RESERVE	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
P1MCPUFP__CPUFP500K_0032__00118	150	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_102199_source_rfantibody_source_id_PVRIG_RFAb_v2_P5_ekg_L_bb186_mpn00_arm_P5_ekg_L_backbone_P5_ekg_L_bb186_status_NEEDS_RF2_AND_DOCKING	151	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
P1MCPUFP__CPUFP500K_0034__00437	152	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_272314_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__0D31242E5AE7AF6D	153	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_151994_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__095CF3A6EB23566F	154	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_168230_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__8C23BFE9B2C11851	155	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_143241_source_rfantibody_source_id_PVRIG_RFAb_v2_P6_qrg_L_bb136_mpn00_arm_P6_qrg_L_backbone_P6_qrg_L_bb136_status_NEEDS_RF2_AND_DOCKING	156	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_009307_source_rfantibody_source_id_PVRIG_RFAb_v2_P1_qkg_L_bb081_mpn03_arm_P1_qkg_L_backbone_P1_qkg_L_bb081_status_NEEDS_RF2_AND_DOCKING	157	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_076728_source_rfantibody_source_id_PVRIG_RFAb_v2_P4_ekg_L_bb147_mpn01_arm_P4_ekg_L_backbone_P4_ekg_L_bb147_status_NEEDS_RF2_AND_DOCKING	158	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_019683_source_rfantibody_source_id_PVRIG_RFAb_v2_P1_qrg_L_bb254_mpn01_arm_P1_qrg_L_backbone_P1_qrg_L_bb254_status_NEEDS_RF2_AND_DOCKING	159	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_168057_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__C6D9EE6E5AB15853	160	STRUCTURAL_RESERVE	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_087316_source_rfantibody_source_id_PVRIG_RFAb_v2_P4_qkg_L_bb342_mpn00_arm_P4_qkg_L_backbone_P4_qkg_L_bb342_status_NEEDS_RF2_AND_DOCKING	161	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_068144_source_rfantibody_source_id_PVRIG_RFAb_v2_P3_qrg_L_bb125_mpn00_arm_P3_qrg_L_backbone_P3_qrg_L_bb125_status_NEEDS_RF2_AND_DOCKING	162	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
P1MCPUFP__CPUFP500K_0388__00663	163	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_196410_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__2B1CBB97A950EFB5	164	STRUCTURAL_RESERVE	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_198055_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__943D934F5A2D8CF4	165	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_009485_source_rfantibody_source_id_PVRIG_RFAb_v2_P1_qkg_L_bb096_mpn05_arm_P1_qkg_L_backbone_P1_qkg_L_bb096_status_NEEDS_RF2_AND_DOCKING	166	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_036058_source_rfantibody_source_id_PVRIG_RFAb_v2_P2_qkg_L_bb231_mpn11_arm_P2_qkg_L_backbone_P2_qkg_L_bb231_status_NEEDS_RF2_AND_DOCKING	167	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_027216_source_rfantibody_source_id_PVRIG_RFAb_v2_P2_ekg_L_bb187_mpn11_arm_P2_ekg_L_backbone_P2_ekg_L_bb187_status_NEEDS_RF2_AND_DOCKING	168	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_036216_source_rfantibody_source_id_PVRIG_RFAb_v2_P2_qkg_L_bb245_mpn01_arm_P2_qkg_L_backbone_P2_qkg_L_bb245_status_NEEDS_RF2_AND_DOCKING	169	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_036343_source_rfantibody_source_id_PVRIG_RFAb_v2_P2_qkg_L_bb255_mpn08_arm_P2_qkg_L_backbone_P2_qkg_L_bb255_status_NEEDS_RF2_AND_DOCKING	170	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_043315_source_rfantibody_source_id_PVRIG_RFAb_v2_P2_qrg_L_bb139_mpn03_arm_P2_qrg_L_backbone_P2_qrg_L_bb139_status_NEEDS_RF2_AND_DOCKING	171	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_188072_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__3B135C34FC9E825E	172	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
P1MCPUFP__CPUFP500K_0287__00389	173	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_000094_source_rfantibody_source_id_PVRIG_RFAb_v2_P1_ekg_L_bb007_mpn09_arm_P1_ekg_L_backbone_P1_ekg_L_bb007_status_NEEDS_RF2_AND_DOCKING	174	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_119392_source_rfantibody_source_id_PVRIG_RFAb_v2_P5_qrg_L_bb233_mpn10_arm_P5_qrg_L_backbone_P5_qrg_L_bb233_status_NEEDS_RF2_AND_DOCKING	175	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_151908_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__32556BF92BC63BD2	176	STRUCTURAL_RESERVE	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_163937_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__4D083647E5B97FE5	177	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_195945_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__B9AD044ACF0FF866	178	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_173980_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__133E09CA5896DF41	179	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_053694_source_rfantibody_source_id_PVRIG_RFAb_v2_P3_ekg_L_bb319_mpn00_arm_P3_ekg_L_backbone_P3_ekg_L_bb319_status_NEEDS_RF2_AND_DOCKING	180	CORE_EXPLOITATION	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
NODE1GEN_189344_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__2B2CC4E2444FCF1B	181	PARENT_CDR3_DIVERSITY	lower_rank_or_diversity_quota_after_complete_static_review	PASS_DESCRIPTIVE_COMPLETE
