job_id	entity_id	conformation	seed	job_hash
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00376__B_LOWER__H3__B03__M00_9e6y_s917_07a4169cf8ae	V29_RF__RFV1__PLDNANO_VHH_00376__B_LOWER__H3__B03__M00	9e6y	917	07a4169cf8ae5a06106313ee8c617276dafc720e9a59d4e2fe5e8439f61129f1
CANDIDATE_V29_GEN__C0113__83AF93DA197AC90B_9e6y_s917_07a4b505c213	V29_GEN__C0113__83AF93DA197AC90B	9e6y	917	07a4b505c2134e3384390b89f20cd03cd40366850f83415debb4504623b07591
CANDIDATE_V29_GEN__C0001__2964EB6CC2C5A15B_9e6y_s917_07a6d532556d	V29_GEN__C0001__2964EB6CC2C5A15B	9e6y	917	07a6d532556d331abd5dc216862fa9f08b2378241a623714183a3e4a4bff21a8
CANDIDATE_V29_GEN__C0348__DF95C4211592A56A_9e6y_s1931_07ac7d1645eb	V29_GEN__C0348__DF95C4211592A56A	9e6y	1931	07ac7d1645ebfd16d9a016109364b1f923f5bf714639ba4ed6ebd0fe07694897
CANDIDATE_V29_GEN__C0409__FFF2B32EEC7234DF_8x6b_s917_07b4251c85e3	V29_GEN__C0409__FFF2B32EEC7234DF	8x6b	917	07b4251c85e3a078de3aee7a3a7e3e9da83bff6a85186ea1a7d7d2445938d5d9
CANDIDATE_V29_GEN__C0030__0089E65CCC3CB222_9e6y_s917_07b76280b835	V29_GEN__C0030__0089E65CCC3CB222	9e6y	917	07b76280b835f05e99844f42fe6ac805d5b27acd13acc13db4294399d5656202
CANDIDATE_V29_GEN__C0074__BF0C47C6F4DAAD4F_8x6b_s1931_07bf2ec12498	V29_GEN__C0074__BF0C47C6F4DAAD4F	8x6b	1931	07bf2ec12498bfd7e5a326cf0a8a0c0f4e4ca1c9182367200343b30760fda08c
CANDIDATE_V29_GEN__C0125__3EE0A4C27BA4C871_9e6y_s917_07c236757b5d	V29_GEN__C0125__3EE0A4C27BA4C871	9e6y	917	07c236757b5d283e3157086fd255247d75090f86600023b2d144d942d6fd955b
CANDIDATE_V29_GEN__C0079__716449E68F5E691E_9e6y_s917_07c3adbdb771	V29_GEN__C0079__716449E68F5E691E	9e6y	917	07c3adbdb77113c151a9cc6136afac91b978415bfbe36e48215629f4673bbd4a
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00371__B_LOWER__H1H3__B00__M00_8x6b_s917_07c6ba2d8337	V29_RF__RFV1__PLDNANO_VHH_00371__B_LOWER__H1H3__B00__M00	8x6b	917	07c6ba2d8337712247c95a110c4c19783ea3b01cd25f5bf13accf0b59f800ed3
CANDIDATE_V29_GEN__C0146__B18DEDEE5896881A_8x6b_s917_07c915767e70	V29_GEN__C0146__B18DEDEE5896881A	8x6b	917	07c915767e70284c32ab70936bf348aa06e40f66c0875a71d3c6e8a8f7535c85
CANDIDATE_V29_RF__RFV1__PLDNANO_VHH_00876__A_CENTER__H1H3__B01__M01_9e6y_s917_07cd0a0d26ae	V29_RF__RFV1__PLDNANO_VHH_00876__A_CENTER__H1H3__B01__M01	9e6y	917	07cd0a0d26aec5ed2282bb15fd6ac530a22086a04f8df9c5d4d5e3b044a86811
CANDIDATE_V29_GEN__C0283__6A3E25030D64592D_8x6b_s917_07de3c8a2736	V29_GEN__C0283__6A3E25030D64592D	8x6b	917	07de3c8a2736522debbdaccb4051654a39289ca6c223052a483bc141a6ea17b5
