Nanobody-ID	Antigen-ID
P1MCPUFP__CPUFP500K_0073__00212	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00210	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00212	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00213	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00213	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00216	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00217	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00217	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00234	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0049__00868	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00221	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00222	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00224	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00281	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00291	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00225	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00225	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00226	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00228	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00270	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00231	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00233	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00671	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0003__00888	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00258	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0292__00033	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00462	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0289__00197	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00279	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0082__00811	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00263	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00239	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00246	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00244	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00242	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00244	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00246	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00245	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00248	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00249	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00249	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00268	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0053__00017	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00253	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00254	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00256	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00325	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00334	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00257	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00257	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00258	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00260	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00307	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00264	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00265	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0008__00756	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0006__00041	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00293	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0292__00191	pvrig_8x6b_chainB
