job_id	own_model_count	rli_model_count	common_model_count	model_jaccard	model_set_exact
CANDIDATE_V29_GEN__C0090__794A6CF27EA7F167_9e6y_s917_18a88164f670	9	10	8	0.7272727272727273	false
CANDIDATE_V29_GEN__C0090__C54861DFD74A3896_8x6b_s917_1c6bb071e042	10	8	7	0.6363636363636364	false
CANDIDATE_V29_GEN__C0090__FF2E88E8269916B4_9e6y_s917_16571b4a8e95	10	8	8	0.8	false
CANDIDATE_V29_GEN__C0102__19EDDD26DACFA784_9e6y_s917_1e5485458832	9	10	5	0.35714285714285715	false
CANDIDATE_V29_GEN__C0102__385EC86FF90C0F9D_9e6y_s917_1268e39d9459	10	10	8	0.6666666666666666	false
CANDIDATE_V29_GEN__C0102__3CCF707A0A7BB1C1_9e6y_s917_1973997df00f	10	10	7	0.5384615384615384	false
CANDIDATE_V29_GEN__C0102__4760EB4A9FCC82AD_9e6y_s917_0b77a7015dc6	10	10	9	0.8181818181818182	false
CANDIDATE_V29_GEN__C0102__854E335067954BDD_8x6b_s917_1838733c5f88	10	10	7	0.5384615384615384	false
CANDIDATE_V29_GEN__C0102__85C2CFEADF6CA2F2_8x6b_s917_0dcd4d8dff9e	10	10	9	0.8181818181818182	false
CANDIDATE_V29_GEN__C0102__9FB77CF503099F40_8x6b_s917_1489cdd23380	9	10	8	0.7272727272727273	false
CANDIDATE_V29_GEN__C0102__9FB77CF503099F40_9e6y_s917_1c4d6ba7e0f1	10	10	8	0.6666666666666666	false
CANDIDATE_V29_GEN__C0102__A26F635782AAF144_9e6y_s917_1b4ef4fc5e00	7	8	7	0.875	false
CANDIDATE_V29_GEN__C0102__A4BDFFC2EF33725E_9e6y_s917_1a2d58a419f6	10	9	7	0.5833333333333334	false
CANDIDATE_V29_GEN__C0102__B1A695E25D91625C_9e6y_s917_10ea0e0ae336	10	10	7	0.5384615384615384	false
CANDIDATE_V29_GEN__C0102__C2860A58448DA0EC_9e6y_s917_1b78f816b57c	10	10	7	0.5384615384615384	false
CANDIDATE_V29_GEN__C0102__DC8D27401C96929E_8x6b_s917_1c1405d7389c	9	10	6	0.46153846153846156	false
CANDIDATE_V29_GEN__C0102__EDF464D6E90F40EC_9e6y_s917_22eeb3adcf83	10	10	8	0.6666666666666666	false
CANDIDATE_V29_GEN__C0106__118EB1D7493F348E_9e6y_s917_1cc3acf8ad71	8	10	5	0.38461538461538464	false
CANDIDATE_V29_GEN__C0106__18D0E83FB550F7B2_8x6b_s917_1573689d89f0	10	8	8	0.8	false
CANDIDATE_V29_GEN__C0106__246D7386262C7913_8x6b_s917_0dfca3f6b5f1	10	10	7	0.5384615384615384	false
CANDIDATE_V29_GEN__C0106__35C25EC23CFB26C0_8x6b_s917_253b799c71e8	10	10	8	0.6666666666666666	false
CANDIDATE_V29_GEN__C0106__39CAF8FAB1BE1243_8x6b_s917_140dd9b9db03	9	10	7	0.5833333333333334	false
CANDIDATE_V29_GEN__C0106__A528912FD9825770_9e6y_s917_15a3ff7e6674	10	10	8	0.6666666666666666	false
CANDIDATE_V29_GEN__C0106__AC19D348F37524F0_9e6y_s917_192b8fd7588e	10	10	10	1.0	true
CANDIDATE_V29_GEN__C0106__AC539FCFF986DC60_8x6b_s917_0aad5bc79a3a	10	10	5	0.3333333333333333	false
CANDIDATE_V29_GEN__C0106__BE1849F2894ED736_9e6y_s917_144f7c0d5af8	10	10	7	0.5384615384615384	false
CANDIDATE_V29_GEN__C0106__EF1149F307BABBFC_8x6b_s917_158f8127ed93	8	10	5	0.38461538461538464	false
CANDIDATE_V29_GEN__C0106__F061EBC6E01CB270_8x6b_s917_1491e89a1ea1	10	10	9	0.8181818181818182	false
CANDIDATE_V29_GEN__C0107__031A715D057F5A1A_8x6b_s917_0ca52de0135b	10	10	5	0.3333333333333333	false
CANDIDATE_V29_GEN__C0107__248573FADABEC7B1_9e6y_s917_1101df499ebc	10	8	4	0.2857142857142857	false
CANDIDATE_V29_GEN__C0107__4B14CE7AF41A7684_9e6y_s917_16e104015608	10	10	4	0.25	false
CANDIDATE_V29_GEN__C0107__4BD5621DC27FCB50_9e6y_s917_17cfefc47814	10	10	6	0.42857142857142855	false
CANDIDATE_V29_GEN__C0107__5D50E69D26B97D82_8x6b_s917_14079df3e815	10	10	8	0.6666666666666666	false
CANDIDATE_V29_GEN__C0107__6B422E88ECF1D98C_9e6y_s917_1d3d78ef641b	10	10	8	0.6666666666666666	false
CANDIDATE_V29_GEN__C0107__7D2B4408ECAD585D_8x6b_s917_0af2668302c6	10	10	7	0.5384615384615384	false
CANDIDATE_V29_GEN__C0107__A77594B2E96E8BD6_8x6b_s917_10cd53ce7a36	10	10	6	0.42857142857142855	false
CANDIDATE_V29_GEN__C0107__B0716F77BDA7A4DE_9e6y_s917_167cbb0d2dd7	10	9	7	0.5833333333333334	false
CANDIDATE_V29_GEN__C0107__BC07CAE81F3D92BD_9e6y_s917_0c948bf2697c	6	7	4	0.4444444444444444	false
CANDIDATE_V29_GEN__C0107__C3219FE0C3898C0B_9e6y_s917_17c21260c255	8	10	4	0.2857142857142857	false
CANDIDATE_V29_GEN__C0107__C4167468572E9FB7_9e6y_s917_224b39c65241	10	10	8	0.6666666666666666	false
CANDIDATE_V29_GEN__C0113__26341ED0E3FB561B_9e6y_s917_146312964d44	10	10	8	0.6666666666666666	false
CANDIDATE_V29_GEN__C0113__55C00750CFA713CD_9e6y_s917_14cc5d0f6ead	10	10	6	0.42857142857142855	false
CANDIDATE_V29_GEN__C0113__A0A38250D881751C_8x6b_s917_19ab3f7ac77b	10	10	7	0.5384615384615384	false
CANDIDATE_V29_GEN__C0113__B8BBDE60F22E89A6_9e6y_s917_12f1dee4711a	10	10	8	0.6666666666666666	false
CANDIDATE_V29_GEN__C0113__CF890E25B30CD1C0_9e6y_s917_1821cc8cde81	9	9	9	1.0	true
CANDIDATE_V29_GEN__C0113__D7005461080B04EC_8x6b_s917_1ad2e97f9a25	10	10	4	0.25	false
CANDIDATE_V29_GEN__C0113__DA2F331B6BBE40DC_9e6y_s917_14494edefe8c	10	10	7	0.5384615384615384	false
CANDIDATE_V29_GEN__C0113__DC54CC889CC9774B_9e6y_s917_1fbfa8d82dfa	10	10	7	0.5384615384615384	false
CANDIDATE_V29_GEN__C0113__E2E02301F21EC509_9e6y_s917_0e2050765a62	9	10	5	0.35714285714285715	false
CANDIDATE_V29_GEN__C0113__F518C181C913F482_8x6b_s917_158c6fa19388	10	8	7	0.6363636363636364	false
CANDIDATE_V29_GEN__C0114__2673671345DB12F5_9e6y_s917_123045d21dee	10	10	8	0.6666666666666666	false
CANDIDATE_V29_GEN__C0114__4C153899C69B6721_8x6b_s917_0b5e1d2fb5d0	7	8	7	0.875	false
CANDIDATE_V29_GEN__C0114__73CEB39334F39114_9e6y_s917_1bbeaf80caad	9	9	9	1.0	true
CANDIDATE_V29_GEN__C0114__8BD22EF5698111FE_8x6b_s917_15994be6a040	10	9	9	0.9	false
CANDIDATE_V29_GEN__C0114__B833F1CED19B74A9_9e6y_s917_0c529f183953	10	10	8	0.6666666666666666	false
CANDIDATE_V29_GEN__C0114__CBABA29873777139_8x6b_s917_208083c66ae5	10	10	6	0.42857142857142855	false
