selection_order	node_index	source_shard	source_shard_selection_rank	release_rank	candidate_id	source_candidate_row_sha256	source_eight_job_ids_sha256	selected_four_job_ids_sha256
52	0	0	52	1049	NODE1GEN_050110_source_rfantibody_source_id_PVRIG_RFAb_v2_P3_ekg_L_bb008_mpn09_arm_P3_ekg_L_backbone_P3_ekg_L_bb008_status_NEEDS_RF2_AND_DOCKING	c4b898d6767afa6af2253bdc03f4df70f46e8a0e58dc28a6a90e26068819c45b	7e3ea7d150f912b353d9327811995bafb60ff71a67b0a7f9e1b374daee16b984	c5e9b4b52206abf9f062b647300893df5d575130539e8879c366b69cb3c12d4f
53	0	0	53	1057	NODE1GEN_002123_source_rfantibody_source_id_PVRIG_RFAb_v2_P1_ekg_L_bb177_mpn03_arm_P1_ekg_L_backbone_P1_ekg_L_bb177_status_NEEDS_RF2_AND_DOCKING	32696b611ae35a6b1e7593efc2feab7a638ff4fc3ec29dc2c20dcd38dbfb5436	223e19c66f05f0ed8f3d1d4b7014f0e9e07b427d23464718bbe659fcee393deb	bba83ae54c3c5f8386cdcce684d97b1cc9c824fab186dcdf3b88894e1f0399d9
54	0	0	54	1065	NODE1GEN_119351_source_rfantibody_source_id_PVRIG_RFAb_v2_P5_qrg_L_bb229_mpn10_arm_P5_qrg_L_backbone_P5_qrg_L_bb229_status_NEEDS_RF2_AND_DOCKING	1224c1b7dabe6c8df0a49a460f05870a39bb3941fd8dc9293bf97a61a0c02f01	3f8b9f41e8423f8fbfd96f18c1e9bf58c461ca2d00842f0849f0940ef1a6bc71	afab48267f424d6b07b4685e3a6e39bab4dc204068854f2b43ba3483b4231bd4
55	0	0	55	1073	NODE1GEN_001728_source_rfantibody_source_id_PVRIG_RFAb_v2_P1_ekg_L_bb144_mpn02_arm_P1_ekg_L_backbone_P1_ekg_L_bb144_status_NEEDS_RF2_AND_DOCKING	c98a6480fe1e46058b07e03a99c7f7ee8214ef9466f6c2b225042e9fbd8be3ae	a596fb4405d2f76d0e6841cae1252b0de10d776fcc0f9d5ee775f34ff30b57fd	e872740e381208c879916222becc010ca1a3693dcf8430326d6f5911de2dd792
56	0	0	56	1081	NODE1GEN_084534_source_rfantibody_source_id_PVRIG_RFAb_v2_P4_qkg_L_bb101_mpn02_arm_P4_qkg_L_backbone_P4_qkg_L_bb101_status_NEEDS_RF2_AND_DOCKING	98a59620ad9cfa71d5e426b7df9034f79dfc3f8b3ad14b80876cb21bdded48bb	80f9e1543006d09eb685b48faf67bd080062dc72cdf91fb38c1e634ab7113474	a83ea9865a872e454e11f7163fa39f2e635a35f818ca8093439ffd94cac955d7
57	0	0	57	1089	NODE1GEN_100508_source_rfantibody_source_id_PVRIG_RFAb_v2_P5_ekg_L_bb039_mpn08_arm_P5_ekg_L_backbone_P5_ekg_L_bb039_status_NEEDS_RF2_AND_DOCKING	4ceba3fe823a1ee6ef6ff690f198caac7e415e286ba00288b0dec28fb4b164ba	c5d60f11db498da8f5540f1e1051f6c1b7aef4517d7133fa419fa8a575e3d8c6	078fcee0cb3b9e0bb2532762551fdbcd7da2bd5a9906dc2e02d68275b0cb91b2
58	0	0	58	1097	NODE1GEN_223609_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__908D9FAD46DC94B1	ea31eabf5eb4a813b11c8aeab3e096251ca461051e944f0515c524891846bc40	26a001a35d718ef0142d1d9bd94060014af265f3c91a7f0c158805df2c5d8225	c5fd567751564207b30a133edacd3f8fdf9a9859afc938954621c6a0c76ecca5
59	0	0	59	1105	NODE1GEN_214202_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__CF19787104C9DB46	b42d1500ad6a9d3912140975e3438a6ae101afe74b16b2b8ab4d5f87e60e2f42	d81156e5298e462fb0180b3714d7e0ac76af54596c8b604a92b07e118dd9d494	91d4cd1c451c81206c4079b2b155cbd55896da70993f62c43c1b958c57272824
60	0	0	60	1113	NODE1GEN_248657_source_fixed_pose_mpnn_source_id_P500K__FIXED_POSE_MPNN__A2177F3EA0FD6179	021746c5fd0de376c7eba57b84ab1ab1cdee196da73fc957b3109d5d9a897b78	28e5b2c8f154df77e3adcbee45071626d426803e0fe1139206b32b72b7e3406a	89a7653168d16a89cd076ebd82773b9c48fedda738c22aa01e37cb573cc622c3
61	0	0	61	1121	NODE1GEN_017572_source_rfantibody_source_id_PVRIG_RFAb_v2_P1_qrg_L_bb075_mpn08_arm_P1_qrg_L_backbone_P1_qrg_L_bb075_status_NEEDS_RF2_AND_DOCKING	76f56e97caf8dac8bd48304f9d5bebbc544340c9b47711843294049277ec279d	18c0bef0855d45474485a41485de1336304d5de341051b4692106f4615c82df1	c52f313f69bbaf8986857800387462123b8e9676a7fc3de489af18a280c8d949
