candidate_id	pose_name	pdb_path	pdb_sha256	antigen_chain	vhh_chain
case02_pos_07_30H2	case02_pos_07_30H2__pose03__cluster_2_model_2	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_07_30H2__pose03__cluster_2_model_2.pdb	20dec7698116bf6b530a31ba705c6077e42c4795991fc8003a9e8c198c0d737e	A	B
case02_pos_07_30H2	case02_pos_07_30H2__pose04__cluster_2_model_3	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_07_30H2__pose04__cluster_2_model_3.pdb	e74f8c65fc717085bb5628d4934d465acb20f797d6519e552c8db3e2123bc05e	A	B
case02_pos_07_30H2	case02_pos_07_30H2__pose05__cluster_2_model_4	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_07_30H2__pose05__cluster_2_model_4.pdb	9c238f1b715b8ff2146a08dbbdcfc217bb849718ffee2a5e32c61a8245866afd	A	B
case02_pos_07_30H2	case02_pos_07_30H2__pose06__cluster_3_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_07_30H2__pose06__cluster_3_model_1.pdb	efb343535f4bab5b53f25168219066ce87dc28f494a90cf99f0dba0286e733d5	A	B
case02_pos_07_30H2	case02_pos_07_30H2__pose07__cluster_4_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_07_30H2__pose07__cluster_4_model_1.pdb	fea131c8f9f1c22cd60ac9a6fdb11247cd3e59d213522024a8368fcadec03ddf	A	B
case02_pos_07_30H2	case02_pos_07_30H2__pose08__cluster_4_model_2	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_07_30H2__pose08__cluster_4_model_2.pdb	fdfcf8601eb37c08c0bd7c0983b123fb91020ef54cf4cfb1115095fae537d41d	A	B
case02_pos_07_30H2	case02_pos_07_30H2__pose09__cluster_4_model_3	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_07_30H2__pose09__cluster_4_model_3.pdb	ace92bf0e74f0a25f6079dfec91af4664ade867ee3a714ee5b9e801ea5b66059	A	B
case02_pos_08_39H2	case02_pos_08_39H2__pose01__cluster_1_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_08_39H2__pose01__cluster_1_model_1.pdb	1f582aa5f33bd61baf87e0dca36fb89a256e6a208540b0acc8e504ecd06b63b2	A	B
case02_pos_08_39H2	case02_pos_08_39H2__pose02__cluster_2_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_08_39H2__pose02__cluster_2_model_1.pdb	96b7484d5ed4b370db01b50929e477082487870fbd2a942b93548bc078641bfd	A	B
case02_pos_08_39H2	case02_pos_08_39H2__pose03__cluster_3_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_08_39H2__pose03__cluster_3_model_1.pdb	46cc0fd796c6f365a40ff5ada12605af159e6019aac2c737424baba203a8c75c	A	B
case02_pos_08_39H2	case02_pos_08_39H2__pose04__cluster_3_model_2	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_08_39H2__pose04__cluster_3_model_2.pdb	4e79dc6d47414b457c943cafccb3addb4c963857e66c8e43a7fe7d4f363a3094	A	B
case02_pos_08_39H2	case02_pos_08_39H2__pose05__cluster_4_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_08_39H2__pose05__cluster_4_model_1.pdb	af2cd1f6e6c798faa8baf21b35bed22939e29b66fa2845c8598e23cd9d483bcc	A	B
case02_pos_08_39H2	case02_pos_08_39H2__pose06__cluster_4_model_2	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_08_39H2__pose06__cluster_4_model_2.pdb	768979232c173d800934d653fde17fe0aef4272fb3a8d97e3cc7082f119c635e	A	B
case02_pos_08_39H2	case02_pos_08_39H2__pose07__cluster_4_model_3	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_08_39H2__pose07__cluster_4_model_3.pdb	bccc7b8f07f462f2295114fb360ed82c50a01446cb35c3d130bac4c643d67bc0	A	B
case02_pos_08_39H2	case02_pos_08_39H2__pose08__cluster_5_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_08_39H2__pose08__cluster_5_model_1.pdb	156520f1dea567fa2f8fb34c6f7bb61dec303248aacc5c60afdc773267fb801b	A	B
case02_pos_08_39H2	case02_pos_08_39H2__pose09__cluster_6_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_08_39H2__pose09__cluster_6_model_1.pdb	d7a0a4dd4ff3011fc6446ba39d6ade7d60b3d86709d47aac7af8351fc334febe	A	B
case02_pos_09_39H4	case02_pos_09_39H4__pose01__cluster_1_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_09_39H4__pose01__cluster_1_model_1.pdb	d51d7d74554fec85431730828ba276ccdb1c5beae1ba02b1a35724b52520aa98	A	B
case02_pos_09_39H4	case02_pos_09_39H4__pose02__cluster_2_model_1	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_09_39H4__pose02__cluster_2_model_1.pdb	f5811082968c1ca2d0b9237f84e71fb374cdeb1fc164b21b36dd5b56374ad6de	A	B
case02_pos_09_39H4	case02_pos_09_39H4__pose03__cluster_2_model_2	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_09_39H4__pose03__cluster_2_model_2.pdb	ec1f10ec0f33a64d5aacde8976f7f7063eb4f96a5e92313c5315c233ce79ed92	A	B
case02_pos_09_39H4	case02_pos_09_39H4__pose04__cluster_2_model_3	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_09_39H4__pose04__cluster_2_model_3.pdb	f864d3cd58c01204137f234c528aa4c2da3e05c9c102198590146902fff311d4	A	B
case02_pos_09_39H4	case02_pos_09_39H4__pose05__cluster_2_model_4	/mnt/d/work/抗体/code/results/pvrig_positive11_structure_affinity_benchmark_20260719/input_poses/case02_pos_09_39H4__pose05__cluster_2_model_4.pdb	11a5652dfa3bac2f2b644e33543f6ccee2de2d4a92ac1b7938a675be257d1df7	A	B
