Nanobody-ID	Antigen-ID
P1MCPUFP__CPUFP500K_0076__00329	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00340	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00338	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00332	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0066__00334	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0065__00340	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0056__00335	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0055__00340	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0057__00341	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0048__00339	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0046__00368	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0053__00107	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0040__00343	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0038__00345	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0037__00351	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0028__00439	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0030__00450	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0029__00354	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0020__00347	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0019__00348	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0021__00352	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0012__00415	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0010__00358	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0013__00355	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0100__00024	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0006__00177	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0001__00399	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0292__00640	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0091__00692	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0289__00455	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0084__00427	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0083__00137	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0085__00400	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0076__00361	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0074__00373	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0073__00375	pvrig_8x6b_chainB
P1MCPUFP__CPUFP500K_0064__00364	pvrig_8x6b_chainB
